state,crop,year,area_harvested_ha,yield_t_per_ha,production_tonnes
Abia,Cassava,2014,131905.4,9.65,1272835.7
Abia,Cassava,2015,98707.3,12.48,1232025.1
Abia,Cassava,2016,99481.4,11.37,1130849.2
Abia,Cassava,2017,100319.2,13.37,1341549.5
Abia,Cassava,2018,142790.2,10.18,1454077.2
Abia,Cassava,2019,104452.5,12.2,1274093
Abia,Cassava,2020,144703.2,9.59,1387055.2
Abia,Cassava,2021,135589.7,10.2,1383576.4
Abia,Cassava,2022,138005.2,9.74,1344473.8
Abia,Cassava,2023,116603.3,12,1399729.7
Abia,Cassava,2024,103278.3,13.55,1399189.6
Akwa Ibom,Cassava,2014,206123.3,12.89,2657324.5
Akwa Ibom,Cassava,2015,203202.2,12.92,2625269
Akwa Ibom,Cassava,2016,214579.1,11.91,2554629.5
Akwa Ibom,Cassava,2017,228437,12.31,2811672.3
Akwa Ibom,Cassava,2018,236625.2,13.15,3110945.1
Akwa Ibom,Cassava,2019,227173.6,13.51,3069856.8
Akwa Ibom,Cassava,2020,294874.7,9.48,2794010.5
Akwa Ibom,Cassava,2021,321063.8,9.55,3067104.2
Akwa Ibom,Cassava,2022,197452.3,13.9,2744613.6
Akwa Ibom,Cassava,2023,235293.4,13.21,3108217.3
Akwa Ibom,Cassava,2024,262274.1,12.25,3211741.8
Anambra,Cassava,2014,218175.7,9.77,2131892.5
Anambra,Cassava,2015,218918.1,9.83,2153029.8
Anambra,Cassava,2016,150502.3,13.79,2075847.3
Anambra,Cassava,2017,228594.5,10.31,2357335.4
Anambra,Cassava,2018,185730.3,12.03,2234350.5
Anambra,Cassava,2019,188135.9,12.21,2297593.9
Anambra,Cassava,2020,214463.7,11.33,2429858.1
Anambra,Cassava,2021,172945.9,13.18,2280201.8
Anambra,Cassava,2022,183804.8,11.86,2180304.6
Anambra,Cassava,2023,242067.1,9.86,2387985.6
Anambra,Cassava,2024,229989.2,10.83,2491482.2
Bayelsa,Cassava,2014,46763.4,13.16,615467.5
Bayelsa,Cassava,2015,57015.4,9.44,538125.3
Bayelsa,Cassava,2016,45389.9,13.13,596036.2
Bayelsa,Cassava,2017,63430.2,9.72,616509
Bayelsa,Cassava,2018,64787,9.73,630433.8
Bayelsa,Cassava,2019,65808.7,10.84,713206
Bayelsa,Cassava,2020,65848.4,10.67,702483.6
Bayelsa,Cassava,2021,75312.5,9.18,691430.3
Bayelsa,Cassava,2022,60895,10.39,632721.7
Bayelsa,Cassava,2023,64569.7,10.55,681521.2
Bayelsa,Cassava,2024,71558.8,9.52,681590.7
Benue,Cassava,2014,483471.4,13.29,6426779.7
Benue,Cassava,2015,564958.8,11.84,6691206.5
Benue,Cassava,2016,600431.2,11.28,6772191.9
Benue,Cassava,2017,717075,9.19,6587813.2
Benue,Cassava,2018,706740.1,9.66,6823779.5
Benue,Cassava,2019,600886.2,11.96,7184026.2
Benue,Cassava,2020,607079.2,13.02,7905361.1
Benue,Cassava,2021,538448,13.68,7366345.8
Benue,Cassava,2022,850296.5,9.2,7823370.9
Benue,Cassava,2023,841828.2,10.13,8526006.4
Benue,Cassava,2024,577236.1,13.2,7616832.1
Cross River,Cassava,2014,312623.8,10.85,3393215.2
Cross River,Cassava,2015,308256.7,11.77,3627532.7
Cross River,Cassava,2016,312899.3,11.16,3492101.9
Cross River,Cassava,2017,327046.3,11.58,
Cross River,Cassava,2018,406228.6,9.12,3706550.2
Cross River,Cassava,2019,398790.2,9.91,3951010.6
Cross River,Cassava,2020,329087.9,12.07,3972715.7
Cross River,Cassava,2021,313637.5,13.25,4156534.4
Cross River,Cassava,2022,287677,12.67,3645761.2
Cross River,Cassava,2023,332378.3,11.75,3904023
Cross River,Cassava,2024,377644.7,11.35,4284996.7
Delta,Cassava,2014,255535.9,12.79,3268415.9
Delta,Cassava,2015,298975.2,10.41,3111410.9
Delta,Cassava,2016,354829.7,9.52,3376919.3
Delta,Cassava,2017,254276.6,13.47,3424401.8
Delta,Cassava,2018,307366.8,11.34,3484589.4
Delta,Cassava,2019,411270.2,9.26,3808283.7
Delta,Cassava,2020,294762.1,12.98,3824707.8
Delta,Cassava,2021,297306.1,11.21,3333268.2
Delta,Cassava,2022,274013,12.55,3438285.8
Delta,Cassava,2023,278144.4,13,3615697
Delta,Cassava,2024,351605.5,9.42,3312326.5
Ebonyi,Cassava,2014,83772.4,10.13,848995.1
Ebonyi,Cassava,2015,85645.1,10.91,933968.4
Ebonyi,Cassava,2016,85960.6,10.66,916154.4
Ebonyi,Cassava,2017,95061.3,10.55,1003050.5
Ebonyi,Cassava,2018,69050.8,13.08,903380.2
Ebonyi,Cassava,2019,101719.4,9.7,986560.3
Ebonyi,Cassava,2020,88991.3,12.29,1093642.1
Ebonyi,Cassava,2021,77217.6,12.88,994859.1
Ebonyi,Cassava,2022,85090.5,11.02,937711.4
Ebonyi,Cassava,2023,83741.7,10.82,906470.3
Ebonyi,Cassava,2024,76008,13.25,1007210.8
Edo,Cassava,2014,192222.3,12.72,2445800.7
Edo,Cassava,2015,247908.8,9.45,2342797.7
Edo,Cassava,2016,174848.9,12.91,2257941.5
Edo,Cassava,2017,223968.3,10.2,2285563.2
Edo,Cassava,2018,229676.5,10.87,2496795.3
Edo,Cassava,2019,262552.3,9.67,2539606
Edo,Cassava,2020,212802.8,12.82,2728050
Edo,Cassava,2021,199693.3,14,2794811.6
Edo,Cassava,2022,187553,13.73,2575126
Edo,Cassava,2023,220702.5,12.71,2805893.3
Edo,Cassava,2024,274252.5,10.69,2932384.8
Ekiti,Cassava,2014,109417.9,10.63,1163016.9
Ekiti,Cassava,2015,98286.9,11.31,1111564
Ekiti,Cassava,2016,110439.4,11.43,1262685.4
Ekiti,Cassava,2017,103041.7,13.16,1355572
Ekiti,Cassava,2018,112262.5,12.26,1376299.2
Ekiti,Cassava,2019,110008.4,11.57,1272919.9
Ekiti,Cassava,2020,119785,11.46,1372827.8
Ekiti,Cassava,2021,105107.9,12.25,1287637.7
Ekiti,Cassava,2022,103807.4,11.89,1234278.7
Ekiti,Cassava,2023,99089.9,13.14,1301632
Ekiti,Cassava,2024,126088.8,11.41,1439034
Enugu,Cassava,2014,235996.9,12.81,3022104.9
Enugu,Cassava,2015,274933.8,11.36,3122005.6
Enugu,Cassava,2016,339268.8,9.88,
Enugu,Cassava,2017,247267.6,13.04,3224681
Enugu,Cassava,2018,305259.1,12.31,3759058.8
Enugu,Cassava,2019,314969.7,11.52,3629279.6
Enugu,Cassava,2020,278484.7,12.67,3529645.2
Enugu,Cassava,2021,264841.9,13.93,3690084.4
Enugu,Cassava,2022,270718.5,12.73,3445148
Enugu,Cassava,2023,291168.1,12.24,3563822.8
Enugu,Cassava,2024,382544.4,10.96,4193781.7
FCT Abuja,Cassava,2014,13880.4,12.93,179537.9
FCT Abuja,Cassava,2015,13968.3,12.58,175783
FCT Abuja,Cassava,2016,14513,12.63,183371.3
Abuja FCT,Cassava,2017,14753.5,11.91,175649.2
FCT Abuja,Cassava,2018,20031.5,9.58,191850.5
FCT Abuja,Cassava,2019,17593.5,11.4,200646.6
FCT Abuja,Cassava,2020,15025.4,13.68,205556.5
FCT Abuja,Cassava,2021,14837.1,13,
FCT Abuja,Cassava,2022,14319.9,11.94,171001.1
FCT Abuja,Cassava,2023,20713.2,9.82,203377.5
Abuja FCT,Cassava,2024,15322.7,13.64,208960
Imo,Cassava,2014,303267,9.64,2923666.3
Imo,Cassava,2015,209858.1,12.82,2691428.3
Imo,Cassava,2016,214561.3,12.79,2744796.8
Imo,Cassava,2017,211881.5,13.76,2916442.4
Imo,Cassava,2018,333777.8,10.43,3482046.8
Imo,Cassava,2019,243757.5,13.26,3231166.7
Imo,Cassava,2020,249490.6,12.47,3112143.1
Imo,Cassava,2021,256227.5,13.76,3524659
Imo,Cassava,2022,238985.4,13.26,3167908.3
Imo,Cassava,2023,317347.8,10.58,3357879.6
Imo,Cassava,2024,299244,12.78,3823336.1
Kaduna,Cassava,2014,229747.9,12.22,2807364.4
Kaduna,Cassava,2015,267051.6,10.52,2809315.9
Kaduna,Cassava,2016,227218.9,11.92,2708560.1
Kaduna,Cassava,2017,202362,13.68,2768356
Kaduna,Cassava,2018,241848,12.17,2943260.2
Kaduna,Cassava,2019,331713,10.25,3399042.7
Kaduna,Cassava,2020,249418.6,12.63,3149802.1
Kaduna,Cassava,2021,310101.3,9.61,2979952.1
Kaduna,Cassava,2022,259262.4,10.35,2684349
Kaduna,Cassava,2023,229518.3,12.13,2784071.6
Kaduna,Cassava,2024,312583,9.9,3096020.3
Kogi,Cassava,2014,498643.9,9.47,4722599.5
Kogi,Cassava,2015,461359.4,9.57,4416432
Kogi,Cassava,2016,383779.3,10.53,4041113.3
Kogi,Cassava,2017,407566.7,10.85,4423978.2
Kogi,Cassava,2018,446905.2,10.5,4694624.2
Kogi,Cassava,2019,468741.4,10.97,5141226.9
Kogi,Cassava,2020,405601.1,12.16,4933970.2
Kogi,Cassava,2021,446572.9,11.4,5089523.6
Kogi,Cassava,2022,468337.1,9.62,4507565.7
Kogi,Cassava,2023,396815.3,11.83,4693873
Kogi,Cassava,2024,586863.8,9.71,5697261.4
Kwara,Cassava,2014,55255,10.94,604345.6
Kwara,Cassava,2015,39916.4,13.81,551224.6
Kwara,Cassava,2016,62546.4,9.7,606778.4
Kwara,Cassava,2017,61999.6,10.15,629189.4
Kwara,Cassava,2018,67434.3,10.55,711545.1
Kwara,Cassava,2019,63899,10.64,
Kwara,Cassava,2020,53005.4,12.81,679139.6
Kwara,Cassava,2021,71907.1,9.26,665736.3
Kwara,Cassava,2022,60216.9,11.14,670787
Kwara,Cassava,2023,54500.1,12.53,682724.5
Kwara,Cassava,2024,51542.2,13.59,700287.4
Lagos,Cassava,2014,9877.5,12.53,123723.9
Lagos,Cassava,2015,10910,10.36,113040.4
Lagos,Cassava,2016,12702.2,9.54,121162.5
Lagos,Cassava,2017,8973.5,13.02,116841
Lagos,Cassava,2018,13699.8,9.28,127093
Lagos,Cassava,2019,11850.2,11.68,138376.6
Lagos,Cassava,2020,11491.5,10.92,125448.3
Lagos,Cassava,2021,10248.5,12.86,131800.9
Lagos,Cassava,2022,12806.9,9.18,117571
Lagos,Cassava,2023,9661.4,13.18,127351.6
Lagos,Cassava,2024,13786.9,10.54,145282.3
Nasarawa,Cassava,2014,83048.9,11.19,928964.7
Nasarawa,Cassava,2015,72033,12.15,875302.7
Nasarawa,Cassava,2016,78538.2,11.19,879200.2
Nasarawa,Cassava,2017,69322.8,13.86,960754.2
Nasarawa,Cassava,2018,121675.4,9.33,1135571.8
Nasarawa,Cassava,2019,78233.3,11.08,867172.9
Nasarawa,Cassava,2020,82018,12.87,1055703.7
Nasarawa,Cassava,2021,77856.9,13.55,1055209.4
Nasarawa,Cassava,2022,110022.7,9.6,1055787.8
Nasarawa,Cassava,2023,68954.3,13.98,963797
Nasarawa,Cassava,2024,84925.1,11.49,976136.8
Niger,Cassava,2014,24324.9,12.41,301931.9
Niger,Cassava,2015,24527,12.5,306551.8
Niger,Cassava,2016,29538.3,9.54,281880.7
Niger,Cassava,2017,25025.7,12.39,310025.2
Niger,Cassava,2018,23344.3,13.6,317595.2
Niger,Cassava,2019,25901.8,12.43,321926.1
Niger,Cassava,2020,31450.3,10.82,340322.6
Niger,Cassava,2021,22690.5,13.01,295144.1
Niger,Cassava,2022,26397.9,12.17,321345.4
Niger,Cassava,2023,26725.6,12.2,326170.8
Niger,Cassava,2024,35672.6,9.89,352713.9
Ogun,Cassava,2014,216081.1,11.77,2543905.8
Ogun,Cassava,2015,256554.5,11.04,2833039.4
Ogun,Cassava,2016,296925.4,9.21,2734110.1
Ogun,Cassava,2017,184149.3,13.96,2571069.4
Ogun,Cassava,2018,212619.7,13.83,2940776.6
Ogun,Cassava,2019,255325.5,10.87,2774895.5
Ogun,Cassava,2020,217617.7,13.79,3001906.4
Ogun,Cassava,2021,269404.8,11.27,3036620.7
